suburb,address,listing_type,property_type,postcode,buy_price,rent_price,bedrooms,bathrooms,carspaces,landsize,year_built,latitude,longitude,features
South Yarra,29 Nicholson St,buy,townhouse,3141,2010000,,3,2,1,163,2016,-37.8425,144.9877,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Coburg,4 Jamieson St,buy,house,3058,1070000,,3,1,2,392,1920,-37.74671,144.95141999999996,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Seaford,12 Riviera St,buy,house,3198,795000,,4,2,2,631,1960,-38.08814,145.12598,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Pascoe Vale,199 Cumberland Rd,buy,house,3044,900000,,3,2,2,608,1940,-37.7182,144.9405,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Rosanna,9 Greensborough Rd,buy,house,3084,515000,,3,2,1,606,1955,-37.7347,145.0783,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Oak Park,15 Kiama St,buy,townhouse,3046,600000,,2,1,1,161,2015,-37.712,144.9175,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Thornbury,37 Lewis St,buy,house,3071,995000,,3,1,1,327,1920,-37.7574,144.9854,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Pascoe Vale,130 Essex St,buy,house,3044,960000,,3,2,2,501,1960,-37.7258,144.9347,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Moonee Ponds,11 Bowen St,buy,house,3039,930000,,3,3,1,325,1910,-37.7702,144.9091,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Pascoe Vale,259 Sussex St,buy,house,3044,612500,,3,1,1,522,1950,-37.7187,144.9514,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Kew,3/99 Earl St,buy,townhouse,3101,707500,,2,1,1,124,1992,-37.7938,145.0321,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
North Melbourne,5 Murphy St,buy,house,3051,1485000,,3,1,1,198,1968,-37.8029,144.9459,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Spotswood,73 The Avenue,buy,house,3015,1040000,,3,1,3,690,1950,-37.8272,144.8789,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Burwood East,1 Sartori St,buy,house,3151,1600000,,4,2,2,592,2007,-37.84839,145.14299,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Hallam,11 Turanga Pl,buy,house,3803,601000,,3,2,4,604,1995,-38.00305,145.2729,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Balwyn North,34 Kawarren St,buy,house,3104,1900000,,6,3,2,808,1974,-37.7842,145.0921,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Pascoe Vale,5/14 Devon Rd,buy,townhouse,3044,500000,,2,2,1,74,2011,-37.72184,144.92969,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Newport,36 Junction St,buy,house,3015,1220000,,3,1,2,492,1940,-37.83529,144.87893,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Sunshine West,18 Norton St,buy,house,3020,586000,,3,1,1,701,1960,-37.7843,144.8052,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Fairfield,45 McGregor St,buy,house,3078,2350000,,3,2,4,735,1950,-37.7706,145.0225,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Reservoir,21 Henty St,buy,house,3073,801000,,3,1,1,551,1950,-37.7194,145.0015,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Reservoir,8 Willoughby St,buy,house,3073,650000,,3,1,2,468,1960,-37.7184,144.9962,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Malvern East,1/13 Goode St,buy,house,3145,1210000,,3,2,1,337,1993,-37.8833,145.0697,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Yarraville,2C Castlemaine St,buy,house,3013,1425000,,3,3,2,305,2007,-37.8149,144.8942,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Coburg,124 Ohea St,buy,house,3058,770000,,3,1,2,408,1970,-37.7366,144.9564,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Eltham North,42 Parry Rd,buy,house,3095,967500,,3,1,2,768,1985,-37.69031,145.14557,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Seaford,6 Manyung Ct,buy,house,3198,770000,,3,1,1,591,1963,-38.09864,145.13128999999995,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Dingley Village,32 Fernhill Dr,buy,house,3172,1281000,,4,2,2,566,2000,-37.97215,145.12389,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Sunshine West,91 Hilma St,buy,house,3020,685000,,4,2,2,572,1967,-37.7912,144.7979,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Clifton Hill,413a Wellington St,buy,house,3068,1209000,,2,1,1,140,1910,-37.7919,144.9884,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Balwyn,26 Wills St,buy,house,3103,2000000,,4,1,2,739,1930,-37.8039,145.0631,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Craigieburn,36 Serenity Wy,buy,house,3064,592500,,4,2,2,448,2011,-37.57635,144.91151000000005,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Hawthorn East,20 Stewart St,buy,house,3123,1650000,,3,1,1,354,1900,-37.8225,145.0551,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Moonee Ponds,15 Orford St,buy,house,3039,956000,,2,1,2,435,1920,-37.7692,144.9042,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Glen Iris,15 Seaton St,buy,house,3146,2152500,,3,2,2,656,1930,-37.86521,145.07034,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Chadstone,2/19 Thurloo St,buy,townhouse,3148,881000,,4,2,1,188,2014,-37.8781,145.0955,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Strathmore Heights,7 Caravelle Cr,buy,house,3041,1000000,,3,1,2,534,1960,-37.71106,144.89427,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Essendon West,1/410 Buckley St,buy,townhouse,3040,800000,,3,3,2,242,2013,-37.7535,144.8868,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
South Yarra,1/14 Arthur St,buy,townhouse,3141,1250000,,3,2,1,80,2003,-37.8416,144.9923,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Reservoir,12 Ida Ct,buy,house,3073,539000,,3,1,1,474,1960,-37.7086,144.9919,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Hughesdale,5/7 Warrigal Rd,buy,apartment,3166,400000,,2,1,1,100,1975,-37.8945,145.0876,"['Secure parking', 'Balcony', 'Lift', 'Shared gym', 'NBN ready', 'Secure access']"
Maidstone,67 Norfolk St,buy,house,3012,840000,,3,1,1,584,1900,-37.7885,144.8771,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Prahran,84 York St,buy,house,3181,1305000,,2,1,1,131,1900,-37.8479,144.9988,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Fairfield,7 Separation St,buy,house,3078,1300000,,3,2,4,579,1960,-37.77252,145.02546,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Bentleigh East,26 May St,buy,house,3165,1525000,,3,1,3,581,1940,-37.9178,145.05414,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Eaglemont,104 Studley Rd,buy,house,3084,1440000,,3,1,2,598,1955,-37.76093,145.056,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Brighton East,1/2 Robinson St,buy,townhouse,3187,1300000,,3,2,2,337,2000,-37.9196,145.0205,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Reservoir,1/74 Miranda Rd,buy,house,3073,605000,,3,1,2,371,1950,-37.7068,145.0193,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Bulleen,3 England St,buy,house,3105,1240000,,4,2,2,602,1970,-37.76012,145.0854,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Moorabbin,1 Otford Cl,buy,house,3189,975000,,3,1,2,576,1940,-37.9363,145.0495,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Oakleigh South,9 Emerald St,buy,house,3167,921000,,3,1,2,535,1970,-37.9377,145.0856,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Werribee,3 Argyle Cr,buy,house,3030,455000,,4,1,4,534,1983,-37.88496,144.66332,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Plumpton,9 Remy Av,buy,house,3335,625500,,4,2,2,477,2012,-37.71429000000001,144.72492,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
West Footscray,5/19 Waratah St,buy,apartment,3012,597000,,3,1,1,126,1995,-37.80962,144.86876999999996,"['Secure parking', 'Balcony', 'Lift', 'Shared gym', 'NBN ready', 'Secure access']"
Albert Park,4 Ashworth St,buy,house,3206,1700000,,3,1,1,178,1910,-37.8473,144.9495,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Balwyn North,185 Doncaster Rd,buy,house,3104,1702000,,4,2,2,715,1939,-37.7943,145.083,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Maidstone,10 Thomson St,buy,house,3012,832000,,3,1,2,300,1950,-37.7896,144.8752,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Balwyn North,1/48 Kenny St,buy,townhouse,3104,1575000,,4,2,2,392,2007,-37.80039,145.0961,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Footscray,1/15 Geelong Rd,buy,townhouse,3011,841000,,4,2,2,250,2000,-37.7959,144.8989,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Coburg,4/44 Victoria St,buy,apartment,3058,653000,,2,1,1,129,2012,-37.7422,144.9606,"['Secure parking', 'Balcony', 'Lift', 'Shared gym', 'NBN ready', 'Secure access']"
Mount Waverley,17 Huntingtower Cr,buy,house,3149,1840000,,6,2,2,554,1999,-37.87591,145.13958,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Sunshine North,3 Belmore Rd,buy,house,3020,775000,,4,1,2,665,1980,-37.7662,144.8383,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Malvern East,3 Ash Gr,buy,house,3145,2520000,,4,3,4,960,1910,-37.87605,145.05563,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Sunshine North,6 Rosewall St,buy,house,3020,665000,,3,1,2,707,1940,-37.7676,144.8339,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Moonee Ponds,36 Derby St,buy,townhouse,3039,1345000,,3,2,1,310,1930,-37.7639,144.9126,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Brighton East,7 Holmhurst Ct,buy,townhouse,3187,1700000,,4,3,2,312,1950,-37.9295,145.0144,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Balwyn North,9 Stephens St,buy,house,3104,4000000,,5,5,4,1364,2013,-37.7961,145.0859,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Yarraville,2/8 Hughes St,buy,house,3013,630000,,2,1,1,148,2003,-37.822,144.89,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Kensington,14 Hardiman St,buy,house,3031,1470000,,3,1,1,199,1910,-37.7957,144.93200000000004,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Black Rock,1 Hornby St,buy,house,3193,1720000,,4,2,2,659,1950,-37.97951,145.02515,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
West Melbourne,115 Abbotsford St,buy,house,3003,1260000,,3,3,2,506,2000,-37.805,144.9448,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Mill Park,3 Rosehill Ct,buy,house,3082,757000,,4,2,3,800,1985,-37.67217,145.0642,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Oak Park,13 Kiama St,buy,townhouse,3046,610000,,2,1,1,182,2015,-37.712,144.91761,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Bentleigh,39A McArthur St,buy,townhouse,3204,1200000,,4,2,2,293,2012,-37.92594,145.03184,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Carnegie,135 Leila Rd,buy,house,3163,1570000,,3,2,2,602,1970,-37.90248,145.05943,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Sydenham,23 Contursi Dr,buy,house,3037,585000,,3,2,2,662,2004,-37.70525,144.75699,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Reservoir,41 Cameron St,buy,house,3073,998000,,3,2,3,479,1950,-37.7271,144.9968,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Eltham,119 Dalton St,buy,house,3095,915000,,3,2,2,795,1960,-37.72503,145.15142,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
St Albans,9 Gray Ct,buy,house,3021,610000,,3,1,2,563,1989,-37.7627,144.81107,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Mont Albert,7/27 High St,buy,townhouse,3127,1310000,,3,2,2,330,2001,-37.8167,145.107,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Gisborne,60 Hamilton St,buy,house,3437,540000,,3,1,2,665,1930,-37.48701,144.58567,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Reservoir,96 Whitelaw St,buy,house,3073,650000,,3,1,1,700,1950,-37.7125,145.02200000000005,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Murrumbeena,525a Neerim Rd,buy,house,3163,1800000,,4,2,2,990,2003,-37.8916,145.0753,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Port Melbourne,9 The Cove,buy,house,3207,1570000,,3,2,1,210,1999,-37.8382,144.9272,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Bulleen,47 Sheahans Rd,buy,house,3105,1260000,,4,2,2,730,1971,-37.7606,145.0932,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Oakleigh South,1/19 Dermot St,buy,house,3167,752500,,2,1,1,308,1950,-37.9191,145.0855,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Northcote,29 Traill St,buy,house,3070,1700000,,5,3,1,450,1930,-37.7701,144.9886,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Balwyn North,10 Columba St,buy,house,3104,1590000,,3,1,1,697,1955,-37.78483,145.07477,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Albanvale,35 Angelique Gr,buy,house,3021,506000,,3,1,2,544,1980,-37.74965,144.77008999999995,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Ascot Vale,41 Monash St,buy,house,3032,1230000,,3,1,2,594,1960,-37.7819,144.9064,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Brunswick,5 Hanover St,buy,house,3056,985000,,3,1,2,384,1940,-37.7626,144.9535,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Pascoe Vale,1A Braeside St,buy,townhouse,3044,510000,,2,1,1,129,2012,-37.71865,144.95018000000005,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Ormond,26 Thompson St,buy,house,3204,2110000,,5,3,4,664,1980,-37.90422,145.02827,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Meadow Heights,25 Darebin Ct,buy,house,3048,370000,,3,1,1,784,1978,-37.65877,144.91191,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Collingwood,2/60 Budd St,buy,townhouse,3066,887500,,3,2,1,81,2000,-37.7961,144.9874,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Brunswick West,209 Union St,buy,house,3055,1075000,,5,1,1,441,1940,-37.77242,144.94458,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Moorabbin,15 Genoa St,buy,house,3189,937000,,3,2,1,534,1960,-37.9426,145.0568,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Croydon Hills,4 Merrill Cr,buy,house,3136,790000,,3,2,2,659,1987,-37.77473,145.26256,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Essendon,2/96 Cooper St,buy,house,3040,911000,,3,2,2,225,2008,-37.7454,144.8987,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Mill Park,9 Taree Pl,buy,house,3082,900000,,4,2,2,609,2003,-37.65898,145.08245,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Ashwood,1/53 Winbirra Pde,buy,house,3147,1200000,,4,3,2,372,2016,-37.8716,145.0999,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Point Cook,15 Metcalf Wy,buy,house,3030,698000,,4,2,2,448,2012,-37.8914,144.72014,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Bentleigh East,21 Wards Gr,buy,house,3165,1206000,,4,1,1,636,1940,-37.925,145.0612,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Newport,1 Durkin St,buy,house,3015,740000,,2,2,1,213,2006,-37.8441,144.8805,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Camberwell,49 Christowel St,buy,house,3124,2600000,,5,4,1,708,1940,-37.8386,145.067,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
South Kingsville,1/72 Paxton St,buy,apartment,3015,506000,,2,1,1,126,1975,-37.8315,144.8693,"['Secure parking', 'Balcony', 'Lift', 'Shared gym', 'NBN ready', 'Secure access']"
Kensington,10 Altona St,buy,house,3031,905000,,2,2,1,138,1999,-37.799,144.9276,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Chadstone,2/2 Robert St,buy,townhouse,3148,845000,,3,2,1,177,2012,-37.8824,145.1042,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Bentleigh,12b Coates St,buy,townhouse,3204,1435000,,4,3,2,291,2012,-37.9278,145.0337,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Murrumbeena,38 Dalny Rd,buy,house,3163,1060000,,3,1,2,595,1957,-37.9027,145.0684,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Coburg,144 The Avenue,buy,house,3058,1250000,,4,3,1,515,1900,-37.7537,144.9766,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Brighton,44 Meek St,buy,house,3186,2260000,,4,2,2,881,2015,-37.90217,144.99337,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Brighton East,25 Agnew St,buy,house,3187,1650000,,4,2,4,506,1997,-37.9111,145.0108,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Carnegie,1/12 Kokaribb Rd,buy,apartment,3163,656000,,2,1,1,103,1970,-37.8873,145.0559,"['Secure parking', 'Balcony', 'Lift', 'Shared gym', 'NBN ready', 'Secure access']"
Parkdale,20 Hawke St,buy,house,3195,1137500,,4,2,4,641,1980,-37.98464,145.08185,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Bundoora,48 Zara Cl,buy,house,3083,755000,,4,2,2,300,2014,-37.68223,145.07818,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
St Kilda,48 Greeves St,buy,house,3182,2000000,,4,2,3,420,1910,-37.8667,144.9832,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Glen Waverley,16 Clematis St,buy,house,3150,1790000,,4,2,2,742,1970,-37.87738,145.18083,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Brighton,823 Hampton St,buy,house,3186,2475000,,4,2,2,605,1920,-37.916,145.0064,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Ascot Vale,6 Munro St,buy,house,3032,1435000,,3,1,1,450,1920,-37.7756,144.9148,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Heidelberg Heights,3/17 Burns Ct,buy,house,3081,600000,,3,2,2,251,2012,-37.7358,145.0559,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Melton West,20 Linlithgow Wy,buy,house,3337,427500,,4,1,2,865,1980,-37.67396,144.55784,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Kingsville,100 Coronation St,buy,house,3012,1205000,,4,1,1,318,1960,-37.8105,144.8803,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Yarraville,18 Stewart St,buy,house,3013,1455000,,3,2,2,351,1910,-37.81111,144.88759,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Roxburgh Park,8 Kennedy Pde,buy,house,3064,465000,,4,2,1,417,1999,-37.62273,144.92567,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Reservoir,82 Radford Rd,buy,house,3073,690000,,3,1,2,514,1960,-37.70331,144.9838,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Glen Iris,10 Bardolph St,buy,townhouse,3146,585000,,2,1,1,84,1960,-37.8517,145.0796,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Ascot Vale,57 The Parade,buy,house,3032,940000,,3,3,1,491,1950,-37.7727,144.9136,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Avondale Heights,2/6 Nelson Ct,buy,townhouse,3034,585000,,2,1,1,136,2012,-37.7623,144.8613,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Airport West,3/7 South Rd,buy,townhouse,3042,540000,,3,2,1,161,2010,-37.7231,144.8802,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Carlton North,527 Nicholson St,buy,house,3054,1330000,,3,1,1,314,1900,-37.7871,144.9766,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Northcote,8 Reid St,buy,house,3070,1095000,,2,1,2,306,1910,-37.7644,145.004,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Coburg North,27 McMahons Rd,buy,house,3058,864000,,3,1,2,565,1950,-37.7283,144.969,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Templestowe,7 Clays Ct,buy,house,3106,1635000,,4,3,2,896,1985,-37.76797,145.13799,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Brighton,1/191 New St,buy,apartment,3186,900000,,2,2,1,118,1970,-37.914,144.9914,"['Secure parking', 'Balcony', 'Lift', 'Shared gym', 'NBN ready', 'Secure access']"
Yarraville,52 Goulburn St,buy,house,3013,1419000,,3,1,2,270,1920,-37.8148,144.8884,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Newport,139 Blackshaws Rd,buy,house,3015,956000,,4,2,4,540,1970,-37.8339,144.8716,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Elsternwick,2 Park St,buy,house,3185,2345000,,3,2,1,419,1908,-37.8817,145.0126,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Hoppers Crossing,26 Abbotswood Dr,buy,house,3029,602000,,4,2,2,603,1985,-37.84958,144.67154,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Burwood,48 Station St,buy,house,3125,1160000,,3,1,1,786,1950,-37.8525,145.1198,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Heathmont,14/270 Canterbury Rd,buy,townhouse,3135,701000,,3,2,2,173,2009,-37.8327,145.2348,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Frankston North,7 Huon Ct,buy,house,3200,493000,,3,1,1,657,1975,-38.12023,145.15188,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Ascot Vale,44 Walter St,buy,house,3032,1381500,,3,2,2,416,1900,-37.7727,144.9055,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Hampton,3 Kendall St,buy,house,3188,1600000,,4,2,2,607,2011,-37.9324,145.0235,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Glenroy,14 Wheatsheaf Rd,buy,townhouse,3046,720000,,3,2,3,300,2013,-37.7098,144.9266,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Keilor East,24 Yallop Ct,buy,house,3033,735000,,4,2,2,547,2000,-37.7381,144.8554,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Footscray,49 MacPherson St,buy,house,3011,661000,,2,1,1,132,1970,-37.7946,144.8903,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Ivanhoe,197 Banksia St,buy,house,3079,1200000,,4,2,2,585,1950,-37.75722,145.04399999999995,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Hoppers Crossing,6 Moffatt Cr,buy,house,3029,568000,,3,2,2,700,1973,-37.87695,144.69953,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Mill Park,14 Malua Cr,buy,house,3082,726000,,3,2,2,615,1982,-37.67519,145.06201,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Thomastown,13 Kemp Av,buy,house,3074,610000,,3,1,2,544,1970,-37.68336,145.0029,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Rosanna,54 Grove Rd,buy,house,3084,1270000,,4,2,4,604,1950,-37.7435,145.0686,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Brunswick,8 Jones St,buy,townhouse,3056,765000,,2,2,1,77,2007,-37.7617,144.96406000000005,"['Garage', 'Balcony', 'Heating', 'City view', 'Air conditioning']"
Yarraville,347 Williamstown Rd,buy,house,3013,781500,,3,1,2,341,1950,-37.8224,144.8818,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Carnegie,5/35 Moonya Rd,buy,apartment,3163,585000,,2,1,1,108,1970,-37.8973,145.0596,"['Secure parking', 'Balcony', 'Lift', 'Shared gym', 'NBN ready', 'Secure access']"
Bundoora,1188 Plenty Rd,buy,house,3083,715000,,3,1,1,541,1960,-37.70603,145.05423000000005,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Preston,12 Newcastle St,buy,house,3072,890000,,3,1,2,495,1950,-37.7521,145.0114,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
Glenroy,48 Everard St,buy,house,3046,580000,,3,1,2,650,1960,-37.7002,144.9408,"['Backyard', 'Driveway', 'Garden', 'Heating', 'Swimming pool']"
